keyword,title,creator,abstract,date,subject,publisher,id
charlemagne,"Charlemagne, ou le Fondateur des établissements d'instruction publique en France, patron de l'Université, par M. Prosper Collard,...","Collard, Prosper. Auteur du texte",Avec mode texte,1869,,impr. de V. Goupy (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6200969s
charlemagne,"Irène et Charlemagne, ou L'Empire d'Orient, par M. Émile Lambert,... : tragédie en cinq actes","Lambert, Émile (18..-18.. ; républicain). Auteur du texte",Avec mode texte,1852,,impr. de C. Delahais (Pont L'Évêque),https://gallica.bnf.fr/ark:/12148/bpt6k321885g
charlemagne,"Lettres historiques. Charlemagne et Louis-Philippe, par M. Frédéric Dollé,...","Dollé, Frédéric. Auteur du texte",Avec mode texte,1838,,J. Tessier (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5565470f
charlemagne,"Description de la Bible écrite par Alchuin de l'an 778 à 800, et offerte par lui à Charlemagne le jour de son couronnement à Rome, l'an 801 . Par son propriétaire M. J. H. de Speyr-Passavant,...","Fontaine, Pierre Julien (pseud. Speyr-Passavant (J. H. de)). Auteur du texte; Peignot, Gabriel (1767-1849). Auteur du texte",Comprend : Lettres à M. C.-N. Amanton sur deux manuscrits précieux du temps de Charlemagne,1829,,J. Fontaine (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5497445k
charlemagne,"Charlemagne et les fêtes latines : à-propos en vers, lu sur le théâtre de Montpellier à la représentation de ""La fille de Roland"" le 24 mai 1878... / Charles Arribat","Arribat, Charles. Auteur du texte",Appartient à l’ensemble documentaire : LangRous1,1878,,impr. de Hamelin frères (Montpellier),https://gallica.bnf.fr/ark:/12148/bpt6k5475236r
charlemagne,Lettres à M. C.-N. Amanton sur deux manuscrits précieux du temps de Charlemagne. [Signé : Gabriel Peignot.],"Peignot, Gabriel (1767-1849). Auteur du texte",Appartient à l’ensemble documentaire : Bourgogn1,,,impr. de N. Odobé (Dijon),https://gallica.bnf.fr/ark:/12148/bpt6k5482214h
charlemagne,"Étude sur l'Office de Girone en l'honneur de saint Charlemagne / par Jules Coulet,...","Coulet, Jules (1870-1952). Auteur du texte",Collection : Publications de la Société pour l'étude des langues romanes ; XX,1907,,Coulet et fils (Montpellier),https://gallica.bnf.fr/ark:/12148/bpt6k6565169z
charlemagne,Parallèle de Bonaparte avec Charlemagne (par J. Chas),"Chas, Jean (1750?-1830?). Auteur du texte",Avec mode texte,1805,,impr. de Dondey-Dupré (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k63331995
charlemagne,"La coutûre Charlemagne : explication de la charte DL du cartulaire de Saint-Corneille / Bernard & Guynemer,...","Bernard (Société historique de Compiègne). Auteur du texte; Guynemer, Paul (1860-1922). Auteur du texte",Appartient à l’ensemble documentaire : Picardi1,1911,,"Impr. du ""Progrès de l'Oise"" (Compiègne)",https://gallica.bnf.fr/ark:/12148/bpt6k5829874b
charlemagne,"Réfutation d'un passage de l'histoire complète de Bordeaux relatif au ""Cassinogilum"" de Charlemagne / par M. Théodore de Pichard,...","Pichard, Théodore de. Auteur du texte",Appartient à l’ensemble documentaire : Aquit1,1861,,[s.n.][s.n.],https://gallica.bnf.fr/ark:/12148/bpt6k6518967f
charlemagne,"La Reine Berthe au grand pied, et quelques légendes de Charlemagne (7e édition) / par J. Collin de Plancy","Collin de Plancy, Jacques-Albin-Simon (1794-1881). Auteur du texte",Collection : Légendes de l'histoire de France,1854,,Société de Saint-Victor (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k54921754
charlemagne,Origine du banquet de la Saint-Charlemagne / A. Cullerre,"Cullerre, Alexandre (1849-1934). Auteur du texte",Avec mode texte,1866,,Vve Migné (Châteauroux),https://gallica.bnf.fr/ark:/12148/bpt6k6209501m
charlemagne,Histoire poétique de Charlemagne / par Gaston Paris,"Paris, Gaston (1839-1903). Auteur du texte",Appartient à l’ensemble documentaire : FranceBr,1865,,Librairie A. Franck (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k62745863
charlemagne,"Etudes critiques sur l'histoire de Charlemagne : les sources de l'histoire de Charlemagne, la conquête de la Saxe, le couronnement impérial, l'agriculture et la propriété rurale, l'industrie et le commerce / Louis Halphen...","Halphen, Louis (1880-1950). Auteur du texte",Contient une table des matières,1921,Charlemagne (0742-0814),(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k3380607g
charlemagne,"Lycée impérial de Versailles. L'Avenir d'un fils, pièce de vers lue au banquet de la Saint-Charlemagne, par Édouard Grison,... le 26 janvier 1867","Grison, Édouard. Auteur du texte",Appartient à l’ensemble documentaire : IledeFr1,1866,,(Versailles),https://gallica.bnf.fr/ark:/12148/bpt6k6150775z
charlemagne,"Études sur l'ancien poème français du Voyage de Charlemagne en Orient / par Jules Coulet,...","Coulet, Jules (1870-1952). Auteur du texte",Collection : Publications de la Société pour l'étude des langues romanes ; XIX,1907,,Coulet et fils (Montpellier),https://gallica.bnf.fr/ark:/12148/bpt6k6565181d
charlemagne,"Les Descendants de Charlemagne, et Rêves d'amour. Par l'auteur des Fleurs parmi les ronces",,Avec mode texte,1853,,,https://gallica.bnf.fr/ark:/12148/bpt6k5844278x
charlemagne,Les grandes chroniques de France. Charlemagne / publiées pour la Société de l'Histoire de France par Jules Viard,,[Grandes chroniques de France (français). 1920-1953],1920-1953,,Société de l'Histoire de France (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6548731z
charlemagne,L'âge des roses / paroles de Mr Etienne Trefeu ; musique de Camille De Vos ; accomp.t de guitare par Louis d[e] Charlemagne,"De Vos, Camille (1821?-1899). Compositeur; Charlemagne, Louis de. Compositeur",Avec mode texte,1856,,E. Challiot (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k11624499
charlemagne,"Charlemagne, ou l'Église délivrée, poème épique en vingt-quatre chants, par Lucien Bonaparte, prince de Canino,...","Bonaparte, Lucien (1775-1840). Auteur du texte",Contient une table des matières,1814,,Longman (Londres),https://gallica.bnf.fr/ark:/12148/bpt6k6521879d
charlemagne,"Charlemagne, ou La Caroléide. Tome 1 / , poème épique en vingt-quatre chants, par M. le Vte d'Arlincourt (Victor),...","Arlincourt, Charles-Victor d' (1788-1856). Auteur du texte",Avec mode texte,1818,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k54706496
charlemagne,"Les légendes épiques : recherches sur la formation des chansons de geste. Vol. 2, La légende de Girard de Roussillon. La légende de la conquête de la Bretagne par le roi Charlemagne. Les chansons de geste et les routes d'Italie, Ogier de Danemark et Saint-Faron de Meaux. La légende de Raoul de Cambrai / par Joseph Bédier","Bédier, Joseph (1864-1938). Auteur du texte",Avec mode texte,1908-1913,,H. Champion (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k4221584j
charlemagne,"Histoire littéraire de la France sous Charlemagne et durant les Xe et XIe siècles (2e éd.) / par J.-J. Ampère,...","Ampère, Jean-Jacques (1800-1864). Auteur du texte",Contient une table des matières,1868,,Didier (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9756403c
charlemagne,Charlemagne et Louis-Philippe [par F. Dollé],"Dollé, Frédéric. Auteur du texte",Avec mode texte,1847,,Dentu (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5564548n
charlemagne,Fierabras : légende nationale / trad. par Mary Lafon ; ill. de douze belles gravures dessinées par G. Doré,,[Fierabras (français)],1857,Charlemagne (0742-0814 ; empereur d'Occident) -- Dans la littérature; Fierabras,Librairie Nouvelle (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k91055737
