keyword,title,creator,abstract,date,subject,publisher,id
mérovingien,"Recueil général des anciennes lois françaises, depuis l'an 420 jusqu'à la Révolution de 1789 : contenant la notice des principaux monumens des Mérovingiens, des Carlovingiens et des Capétiens, et le texte des ordonnances, édits, déclarations, lettres patentes, règlemens,... de la troisième race, qui ne sont pas abrogés, ou qui peuvent servir, soit à l'interprétation, soit à l'histoire du droit public et privé.... Tome 1 / par MM. Jourdan,... Decrusy,... Isambert,...",France. Auteur du texte,[Acte royal],1821-1833,Droit -- France,Belin-Leprieur (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k65212800
austrasie,"Ordonnance du roi, pour mettre le régiment d'infanterie de Ponthieu, sous le nom d'Austrasie . Du 31 mai 1776",Louis XVI (1754-1793 ; roi de France). Auteur du texte; France. Auteur du texte,[Acte royal. 1776-05-31. Versailles],1776,Austrasie (Régiment d'infanterie d') (Actes royaux); Ponthieu (Régiment d'infanterie de) (Actes royaux),(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9615195x
austrasie,Ordonnance... pour mettre le régiment d'infanterie de Ponthieu sous le nom d'Austrasie...,Louis XVI (1754-1793 ; roi de France). Auteur du texte; France. Auteur du texte,[Acte royal. 1776-05-31. Versailles],1779,Austrasie (Régiment d'infanterie d') (Actes royaux); Ponthieu (Régiment d'infanterie de) (Actes royaux),(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9746259s
austrasie,"Histoire du royaume mérovingien d'Austrasie / par M. A. Huguenin,...","Huguenin, Alexandre (1810-1862). Auteur du texte",Avec mode texte,1862,,Durand (Paris),https://gallica.bnf.fr/ark:/12148/bd6t53955784
austrasie,L'Austrasie (1905),,Périodicité : Trimestriel,1905-1923,,[s.n.] (Metz),https://gallica.bnf.fr/ark:/12148/cb345417463/date
austrasie,"Histoire de saint Arnoul, évêque de Metz et premier ministre d'Austrasie sous Clotaire-le-Grand et Dagobert-le-Grand ; Vie de saint Clodulphe, fils du précédent et évêque de Metz : récit de sa translation et de ses miracles / traduit d'un manuscrit inédit, par M. l'abbé Bégel,...",,Appartient à l’ensemble documentaire : Lorr1,1874,Arnoul (058.-064. ; saint),(Bar-le-Duc),https://gallica.bnf.fr/ark:/12148/bpt6k6458419h
austrasie,Affiches d'Austrasie : feuille hebdomadaire,,Appartient à l’ensemble documentaire : BIPFPIG00,1766-1766,,[s.n.] (Metz),https://gallica.bnf.fr/ark:/12148/cb32683167m/date
austrasie,"Glorieux passé d'un régiment (1562-1899) : Champagne, Ponthieu, Austrasie, 8e régiment d'infanterie, 8e demi-brigade de ligne, 8e régiment d'infanterie de ligne, régiment de Condé, 8e d'infanterie de ligne, 8e régiment d'infanterie de ligne, 8e régiment d'infanterie / par le capitaine Jeanneney","Jeanneney, Louis Victor Alfred (Capitaine). Auteur du texte",Avec mode texte,1899,France (1789-....); France,Impr. des orphelins (Calais),https://gallica.bnf.fr/ark:/12148/bpt6k310870q
austrasie,"L'ermite Lother, sanctus Lotharius, évêque de Sées : son tombeau à Saint-Lohier-des-Champs, son origine austrasienne et les sires de Saint-Lohier / par Louis Duval,...","Duval, Louis (1840-1917). Auteur du texte",Appartient à l’ensemble documentaire : BNormand1,1903,,"impr. du ""Journal de l'Orne"" (Argentan)",https://gallica.bnf.fr/ark:/12148/bpt6k670199
austrasie,Les Provinces inébranlables. L'Austrasie. La Question d'Alsace-Lorraine. Metz. La Wallonie / Georges Ducrocq,"Ducrocq, Georges (1874-1927). Auteur du texte",Avec mode texte,1913,,"les ""Marches de l'Est"" (Paris)",https://gallica.bnf.fr/ark:/12148/bd6t5406736x
