keyword,title,creator,description,date,subject,publisher,id,url,item_url
vikings,"The Cook Islands Gazette; 1985, No. 64",,,1985-11-04,law library | cook islands | legal gazettes | south pacific | periodical | government | legal notices | law,,http://www.loc.gov/item/2004217240_19851104_02/,https://www.loc.gov/item/2004217240_19851104_02/,https://www.loc.gov/item/2004217240_19851104_02/
vikings,Songs of summer ...,,Also available in digital form.,1903,,,http://www.loc.gov/item/unk83005955/,https://www.loc.gov/item/unk83005955/,https://www.loc.gov/item/unk83005955/
vikings,Related Resources | About this Collection | Hannah Arendt Papers | Digital Collections,,"Selected Archival Collections For Library of Congress collections, please click on the catalog record links for a fuller description and additional links to available online finding aids, indexes, and digital collections.",,,,http://www.loc.gov/collections/hannah-arendt-papers/about-this-collection/related-resources/,https://www.loc.gov/collections/hannah-arendt-papers/about-this-collection/related-resources/,https://www.loc.gov/collections/hannah-arendt-papers/about-this-collection/related-resources/
vikings,Narratives of Work: Stories Told by Retired Workers and Their Children | Articles and Essays | Working in Paterson: Occupational Heritage in an Urban Setting | Digital Collections,,"During the summer of 1994, Center folklife specialist David Taylor led a team of researchers on a four-month study of occupational culture in Paterson, New Jersey. The study, ""Working in Paterson,"" was sponsored by the Mid-Atlantic Regional Office of the National Park Service (Philadelphia), under a 1992 federal program, the New Jersey Urban History Initiative (see Folklife Center News, summer 1994).",1992,occupational culture | industrialization | local manufacturing industry,,http://www.loc.gov/collections/working-in-paterson/articles-and-essays/narratives-of-work-stories-told-by-retired-workers-and-their-children/,https://www.loc.gov/collections/working-in-paterson/articles-and-essays/narratives-of-work-stories-told-by-retired-workers-and-their-children/,https://www.loc.gov/collections/working-in-paterson/articles-and-essays/narratives-of-work-stories-told-by-retired-workers-and-their-children/
vikings,"McCullough, Morrison, Mukherjee, Egan, Banks, Eggers, McMillan, Keillor, Chua Headline 2011 National Book Festival",,"Authors David McCullough, Russell Banks, Dave Eggers, Terry McMillan, Pulitzer Prize-winners Siddhartha Mukherjee and Jennifer Egan, Garrison Keillor, Amy Chua and Toni Morrison will be among writers speaking at the 11th annual National Book Festival on Sept. 24-25, 2011.",2011-05-24,events,,http://www.loc.gov/item/prn-11-108/,https://www.loc.gov/item/prn-11-108/authors-announced-for-2011-book-festival/2011-05-24/,https://www.loc.gov/item/prn-11-108/authors-announced-for-2011-book-festival/2011-05-24/
vikings,"Warships,",,"""Written by Mark Bartman.""--Pref. ""Junior press book."" Also available in digital form. LAC ecr 2021-02-04 update (2 cards)",1940,warships,,http://www.loc.gov/item/40011670/,https://www.loc.gov/item/40011670/,https://www.loc.gov/item/40011670/
vikings,"Alfred the Great,",,Also available in digital form.,1915,"alfred | alfred, 871-899 | king of england | 849-899 | great britain | history",,http://www.loc.gov/item/15010967/,https://www.loc.gov/item/15010967/,https://www.loc.gov/item/15010967/
vikings,Wit and Lucidity: Carl Sagan’s Christmas Lectures at the Royal Institution,,Carl Sagan gives the 1977-78 Christmas Lectures at the Royal Institution.,2013-12-20,"faraday, michael | sagan, carl | technology | science communication | blogs | business | science | stem | royal institution | history of science",,https://blogs.loc.gov/inside_adams/2013/12/wit-and-lucidity-carl-sagans-christmas-lectures-at-the-royal-institution-2/,https://blogs.loc.gov/inside_adams/2013/12/wit-and-lucidity-carl-sagans-christmas-lectures-at-the-royal-institution-2/,https://blogs.loc.gov/inside_adams/2013/12/wit-and-lucidity-carl-sagans-christmas-lectures-at-the-royal-institution-2/
vikings,"Official Gazette of Aruba; 2018, No. 38",,,2018-06-15,maritime and admiralty law | caribbean | law library | law | government | legal gazettes | legal notices | aruba | periodical | ships and boats | transportation and public works,,http://www.loc.gov/item/88648549_20180615_03/,https://www.loc.gov/item/88648549_20180615_03/,https://www.loc.gov/item/88648549_20180615_03/
vikings,"Official Gazette of Aruba; 2021, No. 3",,,2021-01-08,caribbean | law library | law | government | legal gazettes | legal notices | aruba | periodical | ships and boats | transportation and public works,,http://www.loc.gov/item/88648549_20210108_01/,https://www.loc.gov/item/88648549_20210108_01/,https://www.loc.gov/item/88648549_20210108_01/
vikings,Iceland: Address and Telephone Directories,,Telephone and address directories are used by genealogists and historians to identify people and businesses from a particular place and era. This guide lists uncataloged directories from Iceland in the Library of Congress collection.,2021-07-28,phone book | old directories | yellow pages | telephone numbers | reykjavik | telephone directories | telephone | old phone books | white pages | icelandic | west european studies | phone numbers | address directories | organization directories | historic directories | iceland,,https://guides.loc.gov/iceland-telephone-directories,https://guides.loc.gov/iceland-telephone-directories,https://guides.loc.gov/iceland-telephone-directories
vikings,Three orations,,Also available in digital form.,1899,,,http://www.loc.gov/item/99000593/,https://www.loc.gov/item/99000593/,https://www.loc.gov/item/99000593/
vikings,Irish lyrics and ballads,,Also available in digital form.,1917,,,http://www.loc.gov/item/18014863/,https://www.loc.gov/item/18014863/,https://www.loc.gov/item/18014863/
vikings,"Resources of St. Lucie County, Florida;",,Also available in digital form.,1915,saint lucie county (fla.),,http://www.loc.gov/item/18008795/,https://www.loc.gov/item/18008795/,https://www.loc.gov/item/18008795/
vikings,Cosmos: An appreciation,,,1980-01-01,popular works | outer space | exploration | astronomy | manuscripts | cosmos : a personal voyage (television program) | technology | science | communication in science,,http://www.loc.gov/item/cosmos000052/,https://www.loc.gov/item/cosmos000052/,https://www.loc.gov/item/cosmos000052/
vikings,Italy: Constitutional Court Issues Decision on Rescue at Sea Missions and Refoulement of Migrants,,"<p>On July 8, 2025, the Italian Constitutional Court announced a decision affirming the constitutionality of a statutory provision that provides for monetary penalties and administrative detention of ships that disregard orders of foreign authorities while rescuing migrants at sea.Constitutional ChallengeThe Constitutional Court’s decision arose from a referral by the Ordinary Tribunal of Brindisi, which brought &hellip; </p> <p class=""link-more""><a href=""https://www.loc.gov/item/global-legal-monitor/2025-11-14/italy-constitutional-court-issues-decision-on-rescue-at-sea-missions-and-refoulement-of-migrants/"" class=""more-link"">Continue reading<span class=""screen-reader-text""> &#8220;Italy: Constitutional Court Issues Decision on Rescue at Sea Missions and Refoulement of Migrants&#8221;</span></a></p>",2025-11-14,undocumented immigrants | human trafficking | navigation | ships and boats | treaties and international agreements | refugees | asylum,,http://www.loc.gov/item/global-legal-monitor/2025-11-14/italy-constitutional-court-issues-decision-on-rescue-at-sea-missions-and-refoulement-of-migrants/,https://www.loc.gov/item/global-legal-monitor/2025-11-14/italy-constitutional-court-issues-decision-on-rescue-at-sea-missions-and-refoulement-of-migrants/,https://www.loc.gov/item/global-legal-monitor/2025-11-14/italy-constitutional-court-issues-decision-on-rescue-at-sea-missions-and-refoulement-of-migrants/
vikings,Margaret Mead (1901 to 1978) | Articles and Essays | Margaret Mead Papers and the South Pacific Ethnographic Archives | Digital Collections,,"A chronology of key events in the life of Margaret Mead (1901-1978), anthropologist, author, and speaker.",,,,http://www.loc.gov/collections/margaret-mead-papers-and-south-pacific-ethnographic-archives/articles-and-essays/timeline/,https://www.loc.gov/collections/margaret-mead-papers-and-south-pacific-ethnographic-archives/articles-and-essays/timeline/,https://www.loc.gov/collections/margaret-mead-papers-and-south-pacific-ethnographic-archives/articles-and-essays/timeline/
vikings,Related Resources | About this Collection | Leonard Bernstein | Digital Collections,,"Finding Aid to the Leonard Bernstein Collection View the online Leonard Bernstein Collection Finding Aid or download the Bernstein finding aid (PDF, 699 KB)",,,,http://www.loc.gov/collections/leonard-bernstein/about-this-collection/related-resources/,https://www.loc.gov/collections/leonard-bernstein/about-this-collection/related-resources/,https://www.loc.gov/collections/leonard-bernstein/about-this-collection/related-resources/
vikings,"The wild swans, and other stories,",,Also available in digital form.,1922,"denmark | translations into english | fairy tales | children's stories, danish",,http://www.loc.gov/item/23006924/,https://www.loc.gov/item/23006924/,https://www.loc.gov/item/23006924/
vikings,Project plans ...,,Also available in digital form.,1922,okmulgee | project method in teaching | education | oklahoma,,http://www.loc.gov/item/ca22000656/,https://www.loc.gov/item/ca22000656/,https://www.loc.gov/item/ca22000656/
vikings,Dear Colleague letter,,,,"national aeronautics and space administration | mentorship | nasa | sagan, carl | outer space | exploration | correspondence | mentoring | morrison, david | office of space science and applications | earth and planetary exploration division | planetary science | planetology",,http://www.loc.gov/item/cosmos000071/,https://www.loc.gov/item/cosmos000071/,https://www.loc.gov/item/cosmos000071/
vikings,M. T. Anderson,,"Information about M. T. Anderson, author of books for young people and contributor to ""The Exquisite Corpse Adventure.""",1968,biographies | children's literature | literacy | authors | reading | literature,,https://www.read.gov/exquisite-corpse/anderson.html,https://www.read.gov/exquisite-corpse/anderson.html,https://www.read.gov/exquisite-corpse/anderson.html
